"Company: Company Name","Notice Type","Notice: Notice Number","Closure or Layoff?","County","Date Received","NAICS","Notice URL","Number of Employees Affected","Projected Date","Trade","Type of Employees Affected","Workforce Board"
"Federal Express Corporation","WARN Notice","Notice 2580","Closure","Fayette","1/3/2025","492110","https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq000004qYkt/AvUllHe8K0OYPosWtb_.RUCAOOQTvaiOR.Ue72MY04U","122","3/3/2025","No","Non-Union","Bluegrass"
"Get Insured","WARN Notice","Notice 2583","Layoff","Out of the State County","1/14/2025","524210","https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq0000059qm5/FHy2CM844OQ8YZu0K8dWuwdWnOIG.IMp0ztN0Q5C4tw","2","2/19/2025","TBD","Non-Union","Out of State"
"Jack Cooper Transport (Westport Road Facility)","WARN Notice","Notice 2584","Closure","Jefferson County - Louisville","1/14/2025","484220","https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq000005BhjV/cwcc9u.mTONGnExGB5Cj30qSsAkZbaWFqArLmeY5Ib4","100","1/31/2025","","Union","Kentuckiana Works"
"Jack Cooper Transport (Grade Lane Facility)","WARN Notice","Notice 2585","Closure","Jefferson County - Louisville","1/14/2025","484220","https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq000005BqZt/S.8z9TEK.LdUSMiyPyU2OmmvfyB72n_GLoo8WfuIvpQ","89","1/31/2025","","Union","Kentuckiana Works"
"PARSONS CORPORATION","WARN Notice","Notice 2587","Closure","Madison","1/22/2025","541330","https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq000002V7wv/jCX3hEn5297gzTmwoFA9qbObWxfTpXe8xCX2aUFtEOc","55","3/27/2025","No","Non-Union","Bluegrass"
"Brown-Forman Cooperage","WARN Notice","Notice 2589","Closure","Jefferson County - Louisville","1/22/2025","312140","https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq000005UZAL/7Y0xXkhdLdy4xuWLwpdW2ZEVACIGeVUF1dp33hPXmNw","210","4/25/2025","","Both","Kentuckiana Works"
"BANDO USA INC","WARN Notice","Notice 2592","Layoff","Warren","1/17/2025","326220","https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq000005gof3/H7JnyP3i85WtzR4gL_28.hHTfjh.mR7IATUxIFY8iV8","65","3/28/2025","","Non-Union","South Central"
"Amentum","WARN Notice","Notice 2593","Closure","Madison","1/27/2025","562910","https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq000005ij8D/gapgoIf5KsAjDZV3wK_1gYFZv36G8D5qEz3uFST_Jvw","90","3/27/2025","No","Non-Union","Bluegrass"
"IV Media, LLC","WARN Notice","Notice 2594","Closure","Warren","1/30/2025","51","https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq000005rKP7/_6OrzQnap.NgHNQvLioKYFhNgXkiL.uWcLQkWaiFDYo","107","3/31/2025","TBD","Non-Union","South Central"
"Diageo North America Stitzel-Weller Distillery","WARN Notice","Notice 2597","Closure","Jefferson County - Louisville","1/31/2025","312140","https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq000005wXYb/MJ0Y.gZyiFzqcJe6oeoFT0Rv7Fep5xuwOmOCG50VGMk","57","4/30/2025","","Both","Kentuckiana Works"
"Battelle Memorial Institute E3","WARN Notice","Notice 2610","Closure","Madison","2/24/2025","541715","https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq000006tjPG/2I4lYNSkXHeX5zTSEMB1z.CpQcneksKXiOcK4OwU_EI","245","5/8/2025","No","Non-Union","Bluegrass"
"Battelle Memorial Institute E3","WARN Notice","Notice 2611","Closure","Madison","2/21/2025","541715","https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq0000073ueL/MyYKHtOhEr5wch0_5F84slUZadA.oMb89jKQ6YFUTeM","","4/24/2025","No","Non-Union","Bluegrass"
"PARSONS CORPORATION","WARN Notice","Notice 2614","Closure","Madison","3/3/2025","541330","https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq000007Eqh3/LRRjzqecT_ev45Q0V3xqOGfKDrT83C7A_Rb_I9huvDQ","22","5/15/2025","No","Non-Union","Bluegrass"
"Yokohama Industries Americas Inc/Div 1","WARN Notice","Notice 2616","Closure","Woodford","2/19/2025","326211","https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq000007hkBd/WpGCscLLYhEuUklIAa6oUBlPffAOLjW0asRl4_fKrUA","250","5/30/2025","No","Non-Union","Bluegrass"
"Danimer Scientific - Main","WARN Notice","Notice 2618","Closure","Clark","3/18/2025","541715","https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000837mj/BpCdZkLmv8k2DspHaWrPpVmhAmHV36BKizZ0KFG0MJ4","70","3/21/2025","No","Non-Union","Bluegrass"
"Danimer Scientific - Extrusion","WARN Notice","Notice 2619","Closure","Clark","3/18/2025","325211","https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq0000083a7B/nA7ZESdFZHxMPC1WQvvpAFy44K3Pc1Bfxnu.W5rIx68","11","3/21/2025","No","Non-Union","Bluegrass"
"IV Media, LLC","WARN Notice","Notice 2630","Closure","Warren","4/11/2025","51","https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq000009Fiht/Qw.xhp7wgDSurey8MJvsLUepYFVphTB42JSxvyrcglw","84","5/23/2025","No","Non-Union","South Central"
"Laurel Grocery Company LLC","WARN Notice","Notice 2631","Closure","Laurel","4/15/2025","424410","https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq000009Oi9D/C5YPv5B3bjp6XCeW4ePcejhHRdLTmz1K.uJuIy7TL2w","115","4/15/2025","No","Non-Union","Cumberlands"
