RECEIVED,EMPLOYER,CITY/TOWN,REGION,DATE(S) OF LAYOFFS,# EMPLOYEES IMPACTED
8/17/2026,"Noble Equity Holdings LLC, Noble.com, LLC, Noble Supply & Logistics, LLC (f/k/a Noble Sales Co. Inc.), Tactical & Survival Specialties, LLC (f/k/a Tactical & Survival Specialties, Inc.), Federal Resource Supply Company, LLC (f/k/a Federal Resource Supply Company), and K.D. Analytical Consulting, LLC (aka Noble)","Boston, MA",Boston,10/9/2026 - 10/23/2026,59
8/13/2026,*Updated* Thermo Fisher Scientific,"Franklin, MA ",Metro Southwest,10/16/2026 - 03/31/2027,15
8/13/2026,"Postal Center International, Inc. (aka PCI)","Franklin, MA ",Metro Southwest,8/13/2026 - 09/30/2026,112
8/12/2026,"*Updated* EMD Serono Research Development Institute, Inc.","Billerica, MA",Northeast,10/16/2026 - 10/30/2026,20
8/11/2026,SMBC Manubank (aka JeniusBank),Statewide,Statewide,10/9/2026,3
8/10/2026,"*Updated* Community Healthlink, Inc. (aka CHL)","Worcester and Leominster, MA",Central,10/9/2026,639
8/7/2026,Blueprint Medicines Corporation (aka Sanofi Company Blueprint),"Cambridge, MA",Boston,10/9/2026 - 6/25/2027,229
8/7/2026,National Express Transit Corp. (dba Kiessling of Attleboro),"Taunton and Wareham, MA",Southeast,9/15/2026,162
8/6/2026,"Pure Safety Group, Inc (dba Guardian Fall)","Franklin, MA ",Metro Southwest,10/2/2026,5
7/31/2026,"*Updated* Community Healthlink, Inc. (aka CHL)","Worcester and Leominster, MA",Central,9/16/2026,236
7/30/2026,"*Updated* Community Healthlink, Inc. (aka CHL)","Worcester and Leominster, MA",Central,9/16/2026,234
7/15/2026,"*Updated* Community Healthlink, Inc. (aka CHL)","Worcester and Leominster, MA",Central,9/16/2026,231
7/9/2026,"SDH Education East, LLC (aka Sodexo)","Waltham, MA",Metro Southwest,8/11/2026,173
7/6/2026,"Joymark, Inc. (dba G2O Spa + Salon)","Boston, MA",Boston,8/31/2026,55
7/6/2026,"EMD Serono Research Development Institute, Inc.","Billerica, MA",Northeast,9/4/2026,70
7/1/2026,"Labouré College of Healthcare, Inc.","Milton, MA",Southeast,8/30/2026 - 6/30/2027,65
