Company,Date,PDF url,location,jobs
Maui Seaside Hotel,"January 16, 2019",https://labor.hawaii.gov/wdc/files/2019/08/01.16.19-WARN-Maui-Seaside-Hotel.pdf,,
Kai Management Services,"January 23, 2019",https://labor.hawaii.gov/wdc/files/2019/08/01.23.19-WARN-Kai-Management-Services.pdf,,
Payless Shoesource,"February 25, 2019",https://labor.hawaii.gov/wdc/files/2019/08/02.25.19-WARN-Payless-Shoesource.pdf,,
Tony Hawaii Automotive Group,"February 28, 2019",https://labor.hawaii.gov/wdc/files/2019/08/02.28.19-WARN-Tony-Hawaii-Automotive-Group.pdf,,
General Dynamics Information Technology,"March 1, 2019",https://labor.hawaii.gov/wdc/files/2019/08/03.01.19-WARN-General-Dynamics-Information-Technology.pdf,,
St. Francis School,"March 6, 2019",https://labor.hawaii.gov/wdc/files/2019/08/03.06.19-WARN-St-Francis-School.pdf,,
Tesla,"March 6, 2019",https://labor.hawaii.gov/wdc/files/2019/08/03.06.19-WARN-Tesla.pdf,,
Servco Delivery Services,"April 15, 2019",https://labor.hawaii.gov/wdc/files/2019/08/04.15.19-WARN-Servco-Delivery-Services.pdf,,
Shenandoah Growers,"April 22, 2019",https://labor.hawaii.gov/wdc/files/2019/08/04.22.19-WARN-Shenandoah-Growers.pdf,,
Homestreet Bank,"April 29, 2019",https://labor.hawaii.gov/wdc/files/2019/08/04.29.19-WARN-Homestreet-Bank.pdf,,
Na Kahu Malama Nurses,"May 20, 2019",https://labor.hawaii.gov/wdc/files/2019/08/05.20.19-WARN-Na-Kahu-Malama-Nurses.pdf,,
Watanabe Bakery LLC,"June 19, 2019",https://labor.hawaii.gov/wdc/files/2019/08/06.19.19-WARN-Watanabe-Bakery-LLC.pdf,,
SW Hotels and Resorts,"July 31, 2019",https://labor.hawaii.gov/wdc/files/2019/08/07.31.19-WARN-SW-Hotels-and-Resorts.pdf,,
Servco Pacific Inc.,"September 17, 2019",https://labor.hawaii.gov/wdc/files/2019/10/09.17.19-WARN-Servco-Pacific-Inc.pdf,,
Pyramid Insurance Centre Ltd.,"September 30, 2019",https://labor.hawaii.gov/wdc/files/2019/10/09.30.19-WARN-Pyramid-Insurance-Centre-Ltd.pdf,,
Cerner Corporation,"October 1, 2019",https://labor.hawaii.gov/wdc/files/2019/10/10.01.19-WARN-Cerner-Corporation.pdf,,
BAE Systems,"October 16, 2019",https://labor.hawaii.gov/wdc/files/2019/10/10.16.19-WARN-BAE-Systems.pdf,,
Honolulu Academy of Art,"October 17, 2019",https://labor.hawaii.gov/wdc/files/2019/10/10.17.2019-WARN-Honolulu-Museum-of-Art.pdf,,
