action,address,city,company,county,date_close,date_start,extras,includes,jobs,link,reason,titles
Temporary layoff,"1001 Warner Drive, Three Rivers, Michigan 49093",,Menard Inc. dba Menards,St. Joseph,,5/13/2026,Layoff 2026 St Joseph,,68,https://www.michigan.gov,Natural disaster -- Tornado,"Cleaner Operator, Head Cashier, Morning Stock, Yard"
Facility closure,,,"Navitas Systems, Inc.",Washtenaw,,7/11/2026 -- 10/31/2026,"4880 Venture Drive, #100, Ann Arbor, MI 48108!!!5451 Jackson Road, Ann Arbor, MI 48108!!!5949 Jackson Road, Ann Arbor, MI 48108!!!List of impacted job titles (PDF)!!!Closure 2026 Washtenaw",,82,https://www.michigan.gov,Reduced business/work,
Permanent closure,"735 E. Hazel St., Lansing, Michigan 48912",,"Ascend Wellness Holdings, Inc.",Ingham,,6/26/2026,List of impacted job titles (PDF)!!!Layoff 2026 Ingham,,94,https://www.michigan.gov,Not reported,
Layoff,"2634 World Gateway Place BLDG, 820, Detroit, MI 48242",,Daifuku Services America Corporation,Wayne,,5/31/2026,Layoff 2026 Wayne,,49,https://www.michigan.gov,Reduced business/work,
Facility closure,"1955 Stephenson Highway, Troy, Michigan, 48083",,"Trystar, LLC",Oakland,,9/4/2026 -- 12/31/2026,List of impacted job titles (PDF)!!!Closure 2026 Oakland,,71,https://www.michigan.gov,Transfer of operations,
Permanent layoff,"2500 World Gateway Place, Detroit, MI 48242",,Spirit Airlines,Wayne,,5/2/2026,List of impacted job titles (PDF)!!!Layoff 2026 Wayne,,643,https://www.michigan.gov,Bankruptcy,
Permanent layoff,"36455 Corporate Drive, Farmington Hills, MI 48331",,Fifth Third Bank,Oakland,,7/1/2026 -- 11/2026,Layoff 2026 Oakland,,502,https://www.michigan.gov,,
Permanent layoff,"3800 Hamlin Road, Auburn Hills, MI 48326",,"Dako Resources, LLC",Oakland,,6/30/2026,List of impacted job titles (PDF)!!!Layoff 2026 Oakland,,82,https://www.michigan.gov,Not reported,
Facility closure,,"Grand Rapids, Michigan",Samaritas,Kent,,3/31/26,Closure 2026 Kent,,58,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2026/2026-03-30_WARN-Notice_Samaritas.pdf?rev=3fe4e59537ea4b2fa5d02902190480b7,,
Layoff,,"Livonia, Michigan","Day & Ross USA, Inc.",Wayne,,5/30/26,Layoff 2026 Wayne,,32,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2026/2026-03-25_WARN-Notice_Day-and-Ross.pdf?rev=24699838d4924b7aa21e2710947bcb23,,
Closure,,"Adrian, Michigan",Siena Heights University,Lenawee,,5/9/26-6/19/26,Closure 2026 Lenawee,,132,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2026/2026-02-27_WARN-Notice_Siena-Heights-University.pdf?rev=5f7e26e032864f1b9e146a09285e5892,,
Layoff,,,"Compass Group USA, Inc.",,,7/1/26,"Site!!!City!!!County!!!Beacon Allegan Hospital!!!Allegan, Michigan!!!Allegan!!!Beacon Health & Fitness Center!!!Kalamazoo, Michigan!!!Kalamazoo!!!Beacon Hospital!!!Kalamazoo, Michigan!!!Kalamazoo!!!Beacon Lee Hospital!!!Dowagiac, Michigan!!!Cass!!!Beacon Pipp Hospital!!!Plainwell, Michigan!!!Allegan!!!!!!!!!Layoff 2026 Allegan Cass Kalamazoo",,262,https://www.michigan.gov,,
Facility closure,,"Madison Heights, Michigan","Compass Group USA, Inc.",Oakland,,4/6/26,Closure 2026 Oakland,,114,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2026/2026-02-17_WARN-Notice_Compass-Group-USA-Inc.pdf?rev=df48d713463a4d308a648d9e9aad8725,,
Facility closure,,"Muskegon, Michigan","Pace Industries, LLC",Muskegon,,4/25/26,Closure 2026 Muskegon,,145,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2026/2026-02-24_WARN-Notice_Pace-Industries-LLC.pdf?rev=238ca6ee033b434db43e2f0834d85763,,
Facility closure,,"Corunna, Michigan","General Shale, DBA Michigan Brick",Shiawassee,,4/27/26,Closure 2026 Shiawassee,,48,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2026/2026-02-24_WARN-Notice_General-Shale.pdf?rev=e67016b494d64cb4a98c4a351a9e36ff,,
Permanent layoff,"3255 West Hamlin Road, Rochester Hills, MI 48309",,"First Brands Group, LLC",Oakland,,2/23/2026 -- 5/31/2026,List of impacted job titles (PDF)!!!Layoff 2026 Oakland,,41,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2026/2026-04-27_WARN-Notice_First-Brands-Group.pdf?rev=d4a6ea5fc833479a9c5b69eef9061b2b,Sudden cessation of the sale process,
Facility closure,,"Detroit, Michigan","Main Street Sports Group, LLC",Wayne,,4/14/26,Closure 2026 Wayne,,17,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2026/2026-02-13_WARN-Notice_Main-Street-Sports-Group.pdf?rev=c03bc5b9be4e42b381c972e1c9f41f72,,
Company closure,,"Livonia, Michigan","GMRI, Inc., DBA Bahama Breeze",Wayne,,4/5/26,Closure 2026 Wayne,,66,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2026/2026-02-03_WARN-Notice_Bahama-Breeze.pdf?rev=82a4ebd0af5d4b26918114e3ef9bf049,,
Company closure,,"Galesburg, Michigan","Grouper Acquisition Company, Inc.",Kalamazoo,,3/31/26,Closure 2026 Kalamazoo,,160,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2026/2026-02-02_WARN-Notice_Grouper-Acquisition-Company.pdf?rev=74010059a5214f1d814c13a8bcee9c5e,,
Company closure,,"Grand Rapids, Michigan","Fluresh, LLC",Kent,,1/28/26,Closure 2026 Kent,,15,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2026/2026-01-30_WARN-Notice_Fluresh-LLC.pdf?rev=0ada343f2be14c809f8abcaad6036f53,,
