company,addressfull,county,jobs,date_effective,closure_or_layoff
Qualfon,"1003 Broad Street, #101, Johnstown, PA 15906",Cambria,206,"Beginning:  January 23, 2023; Ending:  March 24, 2023",Layoff
Ascent Tubular Products,"1001 East Waterfront Drive, Munhall, PA 15120",Allegheny,114,Phase 1: 1/11/23 (38 workers) ... Phase 2: 2/10/23 (59 workers) ... Phase 3: 3/31/23 (11 workers) ... Phase 4: TBD (6 workers),Layoff
"Finance of America Holdings, LLC","1 West Elm Street, Conshohocken, PA 19428",Montgomery,43,"Beginning:  March 15, 2023; Ending:  October 2, 2023",Layoffs
Heartland Healthcare Services,"7010 Snowdrift Road #1, Allentown, PA 18106",Lehigh,71,"February 28, 2023",Closing
"Spreadshirt, Inc.","1572 Roseytown Road, Greensburg, PA 15601",Westmoreland,64,1st Phase: 1/9/2023 (49 Employees) ... 2nd Phase: 7/31/2023 (15 Employees),Closing
Brinks Home,"1990 Wittington Place, Dallas, TX 75234 (Corporate Office)",Various Counties within the Commonwealth,81 Total -- 13 of which reside in PA,"March 5, 2023",Layoff
C.H. Briggs,"2047 Kutztown Road, Reading, PA 19605",Berks,104,"February 1, 2023 -- 82 Employees ... March 1, 2023 -- 1 Employee ... April 1, 2023 -- 21 Employees",Closing
LSC Communications -- Lancaster WEST Plant,"1375 Harrisburg Pike, Lancaster, PA 17601",Lancaster,380,"March 31, 2023",Closing
LSC Communications -- Lancaster EAST Plant,"216 Greenfield Road, Lancaster, PA 17601",Lancaster,276,"March 31, 2023",Closing
Morrison HealthCare,"Multiple locations in Allentown, Hazelton, Bethlehem, East Stroudsburg, Pottsville, Easton, Lehighton and Dickson City.",Lehigh and Surrounding Counties,478,"March 3, 2023",Layoff
"NRG Energy, Inc.","595 Plant Road, New Florence, PA 15944",Westmoreland,70,5/16/23,Closing
"Shop-Vac USA, LLC","2323 Reach Road, Williamsport, PA 17701",Lycoming,80,Phase 1: 4/28/23 (67 employees) ... Phase 2: 7/14/23 (9 employees) ... Phase 3: 10/6/23 (4 employees),Layoff
"Johnson & Johnson Consumer, Inc.","1838 Colonial Village Lane, Lancaster, PA 17601",Lancaster,57,Beginning:  2/28/23 - Ending:  12/31/23,Closing
"BLST Operating Company, LLC","220 Hickory Street, Warren, PA 16366",Warren,23,6/2/2023,Layoff
Wal-Mart Distribution Center,"3215 Commerce Center Boulevard, Bethlehem, PA 18015",Northampton,597,6/2/2023,Layoff
"First Quality Retail Services, LLC","601 Allendale Road, King of Prussia, PA 19406",Montgomery,18,6/2/23,Layoff
NFI Interactive Logistics,"9141 Old Route 22, Bethel, PA 19507",Berks,124,6/30/23 -- 50 Employees ... 8/11/23 -- 74 Employees,Closure
International Vitamin Corporation,"10101 Roosevelt Boulevard, Philadelphia, PA 19154, 2101 Hornig Road, Philadelphia, PA 19116",Philadelphia,203,6/2/23 -- 105 Employees ... 7/7/23 -- 10 Employees ... 10/6/23 -- 70 Employees ... 12/1/23 -- 18 Employees,Closure
Brook & Whittle,"3001 State Road, Croydon, PA 19021",Bucks,72,5/25/2023,Closure
"Chewy, Inc.","40 Dauphin Drive, Mechanicsburg, PA 17050",Cumberland,522,6/3/2023,Closure
"Bedding Acquisition, LLC","67 Keystone Boulevard, Pottsville, PA 17901",Schuylkill,112,5/19/2023,Closure
Target,"1128 Chestnut Street, Philadelphia, PA 19107",Philadelphia,47,5/13/2023,Closure
"GEODIS Logistics, LLC","9750 Commerce Circle, Kutztown, PA 19530",Berks,107,7/31/2023,Layoff
Bon Appetit Management Company @ Grove City College,"100 Campus Drive, Grove City, PA 16127",Mercer,185,6/30/23,Closing
"HVL, LLC","600 Boyce Road, Pittsburgh, PA 15205, 112 Technology Drive, Pittsburgh, PA 15275",Allegheny,312,6/30/23,Closing
"Donna Bella Farms, LLC","5A Mountainside Road, Temple, PA 19560",Berks,161,6/30/23,Layoff
"Ryder Integrated Logistics, Inc.","71 Mall Road, Frackville, PA 17931",Schuylkill,132,6/25/2023 - 7/9/2023,Closure
"NRG, Homer City Generating Station","1750 Power Plant Road, Homer City, PA 15748",Indiana,129,7/3/20223 - 10/16/2023,Closure
"Santander Bank, N.A.","450 Penn Street, Reading, PA 19601",Berks,77,,Layoff
"David's Bridal, LLC",15 Stores within 9 Counties,Allegheny (4 locations) ... Blair ... Bucks (2 locations) ... Dauphin ... Delaware ... Erie ... Luzerne ... Montgomery (3 locations) ... York,"9,236 Nationwide; PA total pending verification",Phase 1: 4/14 ... Phase 2: 5/13 -- 5/27 ... Phase 3: 6/12 -- 8/11,Layoff
McKesson Corporation,"2798 New Butler Road, New Castle, PA 16101",Lawrence,135,6/1/23,Closure
"Lightning Source, LLC","860 Nestle Way, Breinigsville, PA 18031",Lehigh,260,04/14 -- 11 Employees ... 05/05 -- 20 Employees ... 06/17 -- 40 Employees ... 07/07 -- 20 Employees ... 08/04 -- 20 Employees ... 09/08 -- 20 Employees ... 10/06 -- 20 Employees ... 11/03 -- 69 Employees ... 12/29 -- 40 Employees,Layoff
Bon Appetit Management Company,"730 Sullivan Road, Easton, PA 18042",Northampton,194,7/11/23,Closing
Envision Physician Services,"1000 River Road, Suite 100, Conshohocken, PA 19428",Montgomery,162,7/14/23 (37 workers); 9/15/23 (125 workers),Layoff
"Warwick House, Inc.","1460 Meetinghouse Road, Hartsville, PA 18974",Bucks,58,beginning 5/10/23 and ending 60-74 days thereafter,Closing
"Greyhound Lines, Inc.","1001 Filbert Street, Philadelphia, PA 19107",Philadelphia,10,7/1/2023,Closure
