company,location,date,jobs,naics,source
Renfro LLC,Laurens,3/5/2023,100,,sc/2023.pdf
"MonitronicsInternational, Inc.",York,3/5/2023,1,,sc/2023.pdf
HealthHelp NurseTriage 24,York,3/24/2023,1,,sc/2023.pdf
"Footprint SouthCarolina, LLC",Chester,3/29/2023,168,,sc/2023.pdf
Parkdale Mills,Aiken,3/31/2023,102,,sc/2023.pdf
"Phenix EngineeredTextiles, Inc.",Spartanburg,2/10/2023,30,,sc/2023.pdf
"PeerStreet, Inc.",Richland,4/16/2023,2,,sc/2023.pdf
"Fraenkische USA, LP",Anderson,4/1/2023 - 12/31/2023,164,,sc/2023.pdf
TELUS International,Charleston,3/6/2023,266,,sc/2023.pdf
RUME Medical Group,York,2/26/2023,1,,sc/2023.pdf
"DSV Solutions, LLC",Laurens,3/4/2022,117,,sc/2022.pdf
Boyd Corporation,Cherokee,3/15/2022,34,,sc/2022.pdf
Alorica Inc.,Greenville,3/25/2022,174,,sc/2022.pdf
Utility Partners ofAmerica,Greenville,4/1/2022,70,,sc/2022.pdf
Belk FulfillmentCenter,Union,4/30/2022,310,,sc/2022.pdf
Borden Dairy,Charleston,5/31/2022,177,,sc/2022.pdf
Alorica Inc.,Greenville,6/18/2022,12,,sc/2022.pdf
Startek,Horry,5/29/2022,161,,sc/2022.pdf
Avara PharmaceuticalServices,Aiken,7/18/2022,93,,sc/2022.pdf
FirstBank/Real Genius,Richland,7/15/2022,35,,sc/2022.pdf
Sodexo,Charleston,7/31/2022,137,,sc/2022.pdf
Sodexo,Charleston,7/31/2022,63,,sc/2022.pdf
Sodexo,Charleston,7/31/2022,70,,sc/2022.pdf
CEVA Logistics,Chesterfield,8/6/2022,131,,sc/2022.pdf
AeroPure LLC,Berkeley,8/15/2022,2,,sc/2022.pdf
"HireRight, Inc.",Lexington,9/1/2022,57,,sc/2022.pdf
WatsonvilleCommunity Hospital,Richland,8/30/2022,2,,sc/2022.pdf
"(NFI) NationalDistribution Centers,LLC",York,9/16/2022,5,,sc/2022.pdf
Santa CruzNutritionals,Sumter,8/1/2022,155,,sc/2022.pdf
"CommunicationService for the Deaf,Inc.",Richland,9/30/2022,95,,sc/2022.pdf
DHL Supply Chain,Greenville,11/4/2022,250,,sc/2022.pdf
"U.S, Patriot Tactical(Galls, LLC)",Richland,10/28/2022,74,,sc/2022.pdf
BayFirst Financial,York,11/25/2022,1,,sc/2022.pdf
"PreZero US Services,LLC.",Oconee,1/19/2023,57,,sc/2022.pdf
Santa CruzNutritionals,Sumter,12/31/2022,170,,sc/2022.pdf
WB Frozen US LLC(Weston Foods USLLC),Cherokee,12/4/2022,204,,sc/2022.pdf
Kohler Co. - VitreousOperations,Spartanburg,12/12/2022,133,,sc/2022.pdf
Lake City CommunityHospital,Florence,12/31/2022,222,,sc/2022.pdf
Color-Fi (GissingNorth America),Sumter,10/28/2022,108,,sc/2022.pdf
Southeast ServiceCoporation (SSCService Solutions),Charleston,12/31/2022,178,,sc/2022.pdf
Williamsburg RegionalHospital,Williamsburg,1/17/2023,267,,sc/2022.pdf
"The Shyft Group, Inc.",Charleston,1/17/2023,71,,sc/2022.pdf
Fiber Industries,Darlington,1/29/2023,250,,sc/2022.pdf
"ABM Industry Groups,LLC",Pickens,12/31/2022,71,,sc/2022.pdf
Kingston Resorts,Myrtle Beach,07/03/2021,94,721110,sc/2021.pdf
Walmart,Columbia,04/09/2021,332,452210,sc/2021.pdf
