County/Counties,Affected Occupations,Congressional ,NEG,Company Address,Date Received,Closure/Layoff,Notice Link,County: Local  Name,NAICS Code,Company Name,Company Contact,Workforce Area,Trade,NAFTA/Trade,Affected Occupation,Comments,Projected Date,Projected Dates,Region,County,Employees,Industry,Union,Location,Notice URL,NAICS/SIC,NAICS,Closure or Layoff?,Source,SIC,Local Area
,,,,,2022-01-20 00:00:00,,WARN,,424480.0,Castellini Group of Companies,,,No,,,,2022-03-19 00:00:00,,Northern Kentucky,Campbell,150.0,,,,,,,Layiff,,,
,,,,,2022-01-12 00:00:00,,WARN,,454390.0,Scentsy  Inc,,,No,,,,2022-04-01 00:00:00,,Bluegrass,Fayette,169.0,,,,,,,Closure,,,
,,,,,2022-01-10 00:00:00,,WARN,,339999.0,Mayfield Consumer Products,,,No,,,,2021-12-10 00:00:00,,Western Kentucky,Graves,501.0,,,,,,,Closure,,,
,,,,,2021-11-16 00:00:00,,WARN,,333517.0,Emerson - Greenlee (Greenlee Professional Tools),,,No,,,,2022-10-31 00:00:00,,Kentuckiana Works,Jefferson,60.0,,,,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/8y000001M0Yn/cv5Vm4VV8DQo6IRIgtLomZnw2Rhaus9oNWIqGtjtvNI,,,Closure,,,
,,,,,2021-11-04 00:00:00,,WARN,,532120.0,Ryder Distribution Center at FRAM Group - Worldwide Blvd,,,No,,,,2021-12-31 00:00:00,,Northern Kentucky,Boone,134.0,,,,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/8y000001EzjG/MqsuLcBX4U_SNzvL_dPKy4eQ12F6hsuwEAA1rPi3E6c,,,Closure,,,
,,,,,2021-10-05 00:00:00,,WARN,,561110.0,Bluegrass Cellular-Elizabethtown,,,No,,,,2021-11-30 00:00:00,,Lincoln Trail,Hardin,178.0,,,,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/8y000000yNWq/fkzXuhdV5JgCrxUX3XY9AkJPzPKCfrnHn1BayKUv03o,,,Closure,,,
,,,,,2021-09-29 00:00:00,,WARN,,339999.0,Vitech Manufacturing LP,,,TBD,,,,2022-07-15 00:00:00,,Western Kentucky,Christian,40.0,,,,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/8y000000vHHY/5QXFGFAAg3s77VoPoLZeDKwLajXDJRIno_EtvbEDS6o,,,Closure,,,
,,,,,2021-09-21 00:00:00,,WARN,,62331.0,Regis Woods Care and Rehab Center,,,No,,,,2021-10-16 00:00:00,,Kentuckianaworks,Jefferson,95.0,,,,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000002BCrv/TSd8M85stEq3c3n9JMbv4Gyum4cLTAsTcWSOp.dS_Gw,,,Closure,,,
,,,,,2021-07-27 00:00:00,,WARN,,333415.0,TRANE U.S. Inc.,,,No,,,,2021-09-30 00:00:00,,Bluegrass,Fayette,659.0,,,,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t00000025Bq4/eQmUMPAyugRGX0qXL88WdtQvSvs_Fk3HdyTYNTiPKFE,,,Closure,,,
,,,,,2021-06-08 00:00:00,,WARN,,336370.0,P-K Tool & Manufacturing Company,,,No,,,,2021-07-31 00:00:00,,Bluegrass,Madison,54.0,,,,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000y9Wa/jpUbU26tJli_2mvE7pASwrM6yLvQOYvdTRlg2u_zgMU,,,Closure,,,
